scipy|Python|scipy_basic_functions|Basic functions|basic.html|Interaction with NumPy 
scipy|Python|scipy_compressed_sparse_graph_routines_scipy_sparse_csgraph|Compressed Sparse Graph Routines (scipy.sparse.csgraph)|csgraph.html|Example: Word Ladders 
scipy|Python|scipy_file_io_scipy_io|File IO (scipy.io)|io.html|Arff files ( scipy.io.arff
scipy|Python|scipy_file_io_scipy_io|File IO (scipy.io)|io.html|IDL files  readsav
scipy|Python|scipy_file_io_scipy_io|File IO (scipy.io)|io.html|MATLAB files  loadmat
scipy|Python|scipy_file_io_scipy_io|File IO (scipy.io)|io.html|Matrix Market files 
scipy|Python|scipy_file_io_scipy_io|File IO (scipy.io)|io.html|Netcdf  netcdf_file (filename[, mode, mmap, version, …])
scipy|Python|scipy_file_io_scipy_io|File IO (scipy.io)|io.html|Wav sound files (
scipy|Python|scipy_fourier_transforms_scipy_fft|Fourier Transforms (scipy.fft)|fft.html|Discrete Cosine Transforms 
scipy|Python|scipy_fourier_transforms_scipy_fft|Fourier Transforms (scipy.fft)|fft.html|Discrete Sine Transforms 
scipy|Python|scipy_fourier_transforms_scipy_fft|Fourier Transforms (scipy.fft)|fft.html|Fast Fourier transforms 
scipy|Python|scipy_fourier_transforms_scipy_fft|Fourier Transforms (scipy.fft)|fft.html|References  CT65 Cooley,
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|Faster integration using low-level
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|Gaussian quadrature  A
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|General integration ( quad
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|General multiple integration (
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|Integrating using Samples 
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|Ordinary differential equations (
scipy|Python|scipy_integration_scipy_integrate|Integration (scipy.integrate)|integrate.html|Romberg Integration  Romberg’s
scipy|Python|scipy_interpolation_scipy_interpolate|Interpolation (scipy.interpolate)|interpolate.html|1-D interpolation ( interp1d
